date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:19:41	121/121	---M-Z	200	added ('OK')	text/plain	date:Mon,%2014%20Feb%202022%2021:19:41%20GMT	https://www.themillsbbq.com/robots.txt		(from )
01:19:42	45065/45065	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:19:42%20GMT	https://www.themillsbbq.com/	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/index.html	(from )
01:19:42	480617/480617	---M-Z	200	added ('OK')	text/css	etag:%2275569-5ccb649feafdd-gzip%22	https://www.themillsbbq.com/css/ambiance.min.css?v=1632458181	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/css/ambiance.min8445.css	(from https://www.themillsbbq.com/)
01:19:43	180864/180864	---M--	200	added ('OK')	image/png	etag:%222c280-5bbf9cc191540%22	https://www.themillsbbq.com/ressources/images/d161b2f85b7f.png	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/d161b2f85b7f.png	(from https://www.themillsbbq.com/)
01:19:44	48980/48980	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:19:44%20GMT	https://deliver.biz/carte/carte?key=a9d7853e58c8738e31047dac36dd0699db839448&c=AGCCND6317&ui=light&lang=en&noiframe=true	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/deliver.biz/carte/carte42c5.html	(from https://www.themillsbbq.com/)
01:20:05	9002/9002	---M--	200	added ('OK')	image/png	etag:%22232a-5bebffb65f0e7%22	https://www.themillsbbq.com/ressources/images/01caa85cbad6.png	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/01caa85cbad6.png	(from https://www.themillsbbq.com/)
01:20:05	278528/278528	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2014%20Feb%202022%2021:20:05%20GMT	https://www.doordash.com/store/the-mills-milton-1167628	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.doordash.com/store/the-mills-milton-1167628.5.delayed	(from https://www.themillsbbq.com/)
01:20:25	8132/8132	---M--	200	added ('OK')	image/png	etag:%221fc4-5bebffb8ee54c%22	https://www.themillsbbq.com/ressources/images/4c5b188b4db1.png	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/4c5b188b4db1.png	(from https://www.themillsbbq.com/)
01:20:27	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2014%20Feb%202022%2021:20:27%20GMT	https://foodling.co/stores/the-mills-bbq	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/stores/the-mills-bbq.7.delayed	(from https://www.themillsbbq.com/)
01:20:27	86777/86777	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:20:28%20GMT	https://foodling.co/menu/mills-bbq-milton	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/menu/mills-bbq-milton.html	(from https://www.themillsbbq.com/)
01:20:48	3153/3153	---M--	200	added ('OK')	image/png	etag:%22c51-5c66eaa470a64%22	https://www.themillsbbq.com/ressources/images/39100cc533f8.png	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/39100cc533f8.png	(from https://www.themillsbbq.com/)
01:20:56	193961/193961	---M--	200	added ('OK')	image/jpeg	etag:%222f5a9-5ccb63c22f3b1%22	https://www.themillsbbq.com/ressources/images/2934d60dd713.jpg	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/2934d60dd713.jpg	(from https://www.themillsbbq.com/)
01:21:01	68977/68977	---M--	200	added ('OK')	image/png	etag:%2210d71-5bbf9cc285780%22	https://www.themillsbbq.com/ressources/images/740341b4ebff.png	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/740341b4ebff.png	(from https://www.themillsbbq.com/)
01:21:04	28697/28697	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:21:04%20GMT	https://www.themillsbbq.com/specials.php	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/specials.html	(from https://www.themillsbbq.com/)
01:21:05	23537/23537	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:21:05%20GMT	https://www.themillsbbq.com/menu.php	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/menu.html	(from https://www.themillsbbq.com/)
01:21:06	27436/27436	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:21:06%20GMT	https://www.themillsbbq.com/contact.php	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/contact.html	(from https://www.themillsbbq.com/)
01:21:07	236325/236325	---M--	200	added ('OK')	image/jpeg	etag:%2239b25-5ca8a2dd77d47%22	https://www.themillsbbq.com/ressources/images/d808943b4226.jpg	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/d808943b4226.jpg	(from https://www.themillsbbq.com/)
01:21:10	143731/143731	---M--	200	added ('OK')	image/jpeg	etag:%2223173-5ca8a295455fc%22	https://www.themillsbbq.com/ressources/images/a4b1e84a9e49.jpg	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/a4b1e84a9e49.jpg	(from https://www.themillsbbq.com/)
01:21:12	2567262/2567262	---M--	200	added ('OK')	image/png	etag:%22272c5e-5c2c2a2d9a028%22	https://www.themillsbbq.com/ressources/images/5287a62a8dc7.png	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/5287a62a8dc7.png	(from https://www.themillsbbq.com/)
01:21:12	259969/259969	---M--	200	added ('OK')	image/jpeg	etag:%223f781-5c2d03a8ace60%22	https://www.themillsbbq.com/ressources/images/4360176699fa.jpg	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/4360176699fa.jpg	(from https://www.themillsbbq.com/)
01:21:12	251855/251855	---M--	200	added ('OK')	image/jpeg	etag:%223d7cf-5c2d03a7e995e%22	https://www.themillsbbq.com/ressources/images/5b0982c96feb.jpg	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/5b0982c96feb.jpg	(from https://www.themillsbbq.com/)
01:21:15	193397/193397	---M--	200	added ('OK')	image/jpeg	etag:%222f375-5bbf9cc285780%22	https://www.themillsbbq.com/ressources/images/51feaf03da54.jpg	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/51feaf03da54.jpg	(from https://www.themillsbbq.com/)
01:21:15	266865/266865	---M--	200	added ('OK')	image/jpeg	etag:%2241271-5c30ca7eeaeab%22	https://www.themillsbbq.com/ressources/images/24d7fa90455d.jpg	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/24d7fa90455d.jpg	(from https://www.themillsbbq.com/)
01:21:16	2659305/2659305	---M--	200	added ('OK')	image/png	etag:%222893e9-5c2c2a7616b1a%22	https://www.themillsbbq.com/ressources/images/e20e4d7342cf.png	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/ressources/images/e20e4d7342cf.png	(from https://www.themillsbbq.com/)
01:21:17	35034/35034	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:21:18%20GMT	https://www.themillsbbq.com/terms-conditions.php	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/terms-conditions.html	(from https://www.themillsbbq.com/)
01:21:18	23812/23812	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:21:18%20GMT	https://www.themillsbbq.com/site-map.php	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/site-map.html	(from https://www.themillsbbq.com/)
01:21:23	191391/191391	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:21:20%20GMT	https://www.instagram.com/themillsbbq/?hl=en	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.instagram.com/themillsbbq/indexfef7.html	(from https://www.themillsbbq.com/)
01:21:24	221471/221471	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:21:19%20GMT	https://www.facebook.com/themillsbbq/photos/?ref=page_internal	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.facebook.com/themillsbbq/photos/index76a2.html	(from https://www.themillsbbq.com/)
01:21:24	160086/160086	---MC-	200	added ('OK')	text/javascript	date:Mon,%2014%20Feb%202022%2021:21:19%20GMT	https://maps.googleapis.com/maps/api/js?key=AIzaSyACfYfCcJn5WlETkaTDI1QFd5OkVjvJxsQ	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/maps.googleapis.com/maps/api/jsb1fc	(from https://www.themillsbbq.com/)
01:21:24	151982/151982	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2021:21:22%20GMT	https://www.google.com/maps/place/104+Tremaine+Rd,+L9T+2W9+Milton/	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.google.com/maps/place/104+Tremaine+Rd,+L9T+2W9+Milton/index.html	(from https://www.themillsbbq.com/)
01:21:26	228465/228465	---MCZ	200	added ('OK')	application/javascript	etag:%2237c71-5d4fb0d071100-gzip%22	https://www.themillsbbq.com/AMBIANCE_FBNWQMW54V_bambooBay-grid/js/build/ideo3.min.js	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/AMBIANCE_FBNWQMW54V_bambooBay-grid/js/build/ideo3.min.js	(from https://www.themillsbbq.com/)
01:21:27	1905/1905	---M-Z	200	added ('OK')	application/javascript	etag:%22771-58cc260bb8780-gzip%22	https://www.themillsbbq.com/AMBIANCE_FBNWQMW54V_bambooBay-grid/template/slider/header/owl.option.header.js	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/AMBIANCE_FBNWQMW54V_bambooBay-grid/template/slider/header/owl.option.header.js	(from https://www.themillsbbq.com/)
01:21:27	10178/10178	---M-Z	200	added ('OK')	application/javascript	etag:%2227c2-5a2afd325ce40-gzip%22	https://www.themillsbbq.com/AMBIANCE_FBNWQMW54V_bambooBay-grid/template/js/template.min.js	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/AMBIANCE_FBNWQMW54V_bambooBay-grid/template/js/template.min.js	(from https://www.themillsbbq.com/)
01:21:28	8459/8459	---M-Z	200	added ('OK')	application/javascript	etag:%22210b-5d62428f14212-gzip%22	https://www.themillsbbq.com/js/PAGE_CEXEP5L1H6.min.js?v=1642825677	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/www.themillsbbq.com/js/PAGE_CEXEP5L1H6.minc84f.js	(from https://www.themillsbbq.com/)
01:21:29	29/29	---M--	200	added ('OK')	text/plain	etag:%221d-5c8067cc3761e%22	https://deliver.biz/robots.txt		(from https://www.themillsbbq.com/)
01:21:30	6099/6099	---MCZ	200	added ('OK')	text/plain	date:Mon,%2014%20Feb%202022%2021:21:30%20GMT	https://www.ubereats.com/robots.txt		(from https://www.themillsbbq.com/)
01:21:30	153934/153934	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2014%20Feb%202022%2021:21:31%20GMT	https://www.doordash.com/robots.txt		(from https://www.themillsbbq.com/)
01:21:32	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Feb%202022%2021:21:32%20GMT	https://foodling.co/robots.txt		(from https://www.themillsbbq.com/)
01:21:33	196976/196976	---M--	200	added ('OK')	image/png	etag:%2230170-5c95b06ecf08c%22	https://foodling.co/upload/1627753380-Mills.png	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/upload/1627753380-Mills.png	(from https://foodling.co/menu/mills-bbq-milton)
01:21:35	32429/32429	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8.1/themes/base/jquery-ui.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/ajax.googleapis.com/ajax/libs/jqueryui/1.8.1/themes/base/jquery-ui.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:35	43049/43049	---M-Z	200	added ('OK')	text/css	etag:%22a829-5c95b06a7ba9d-gzip%22	https://foodling.co/assets/css/store.css?ver=1.0	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/css/store5152.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:36	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%226b4a-5c95b06a8473b-gzip%22	https://foodling.co/assets/vendor/font-awesome/css/font-awesome.min.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/font-awesome/css/font-awesome.min.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:37	9890/9890	---M-Z	200	added ('OK')	text/css	etag:%2226a2-5c95b06a9fcb6-gzip%22	https://foodling.co/assets/vendor/colorpick/css/colpick.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/colorpick/css/colpick.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:37	1628/1628	---M-Z	200	added ('OK')	text/css	etag:%2265c-5c95b06a856db-gzip%22	https://foodling.co/assets/vendor/iCheck/skins/all.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/iCheck/skins/all.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:38	12936/12936	---M-Z	200	added ('OK')	text/css	etag:%223288-5c95b06a97018-gzip%22	https://foodling.co/assets/vendor/chosen/chosen.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/chosen/chosen.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:39	5260/5260	---M-Z	200	added ('OK')	text/css	etag:%22148c-5c95b06aa0c56-gzip%22	https://foodling.co/assets/vendor/fancybox/source/jquery.fancybox.css?ver=1	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/fancybox/source/jquery.fancybox68b3.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:40	57490/57490	---M-Z	200	added ('OK')	text/css	etag:%22e092-5c95b06a8379b-gzip%22	https://foodling.co/assets/vendor/animate.min.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/animate.min.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:41	7789/7789	---M-Z	200	added ('OK')	text/css	etag:%221e6d-5c95b06a9ae97-gzip%22	https://foodling.co/assets/vendor/magnific-popup/magnific-popup.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/magnific-popup/magnific-popup.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:42	18170/18170	---M-Z	200	added ('OK')	text/css	etag:%2246fa-5c95b06a8667b-gzip%22	https://foodling.co/assets/vendor/intel/build/css/intlTelInput.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/intel/build/css/intlTelInput.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:43	275/275	---M-Z	200	added ('OK')	text/css	etag:%22113-5c95b06a9ed16-gzip%22	https://foodling.co/assets/vendor/rupee/rupyaINR.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/rupee/rupyaINR.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:44	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-5c95b06a8379b-gzip%22	https://foodling.co/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:45	963/963	---M-Z	200	added ('OK')	text/css	etag:%223c3-5c95b06a9ed16-gzip%22	https://foodling.co/assets/vendor/raty/jquery.raty.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/raty/jquery.raty.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:47	51284/51284	---M-Z	200	added ('OK')	text/css	etag:%22c854-5c95b06a885ba-gzip%22	https://foodling.co/assets/vendor/ionicons-2.0.1/css/ionicons.min.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/ionicons-2.0.1/css/ionicons.min.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:47	5974/5974	---M-Z	200	added ('OK')	text/css	etag:%225eb03d8e-1756%22	http://cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.9.4/css/bootstrap-select.min.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.9.4/css/bootstrap-select.min.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:48	1458/1458	---M-Z	200	added ('OK')	text/css	etag:%225b2-5c95b06a9ed16-gzip%22	https://foodling.co/assets/vendor/nprogress/nprogress.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/nprogress/nprogress.css	(from https://foodling.co/menu/mills-bbq-milton)
01:21:49	2508/2508	---M-Z	200	added ('OK')	text/css	etag:%229cc-5c95b06a97fb7-gzip%22	https://foodling.co/assets/vendor/justified-gallery/css/justifiedGallery.min.css	C:/Users/Linkeo-admin/Documents/https___www.themillsbbq.com_/foodling.co/assets/vendor/justified-gallery/css/justifiedGallery.min.css	(from https://foodling.co/menu/mills-bbq-milton)
